,smiles,frag_a_ix,frag_a,frag_b_ix,frag_b,frag_c_ix,frag_c,overlap,fluo_rate_ns,fluo_peak_1,fluo_peak_2,ext_peak_1,ext_peak_2,route_score,merits_1d_w_rs
86,Fc1cc(-c2ccsc2-c2cnc3nc(-c4sccc4-c4ccnc(F)c4)ccc3c2)ccn1,0,OB(O)c1ccnc(F)c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,10,Brc1cnc2nc(Br)ccc2c1,0.11150412200882542,0.4516379325510368,0.7934478235860783,0.00015330919573145087,0.026158810904483774,0.00034431222592596077,60357.13343175128,0.0
84,Fc1cc(-c2ccsc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4sccc4-c4ccnc(F)c4)ccc2-3)ccn1,0,OB(O)c1ccnc(F)c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,8,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.10392735940954273,0.49493076029481003,0.7827389815678447,0.0002030260699274395,0.05172376061455621,0.00035803673221108137,58576.93339878635,0.004452017044851115
1076,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3sccc3-c3ccc4ncccc4c3)ccc2-c2ccc(-c3sccc3-c3ccc4ncccc4c3)cc21,4,OB(O)c1ccc2ncccc2c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,12,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,0.1525776096351887,0.6279549393120354,0.7772203280358058,0.00022459728030451744,0.19229619352290256,0.0003956737309541153,58126.415133813265,0.006746302416456417
1072,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3sccc3-c3ccc4ncccc4c3)ccc2-c2ccc(-c3sccc3-c3ccc4ncccc4c3)cc21,4,OB(O)c1ccc2ncccc2c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,8,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.19081062619560646,0.4986121226267954,0.776345548474109,0.00022668746161281651,0.2556056330565272,0.0004083082500920338,58299.56811052551,0.007109976986734889
825,CC(C)(C)OC(=O)n1ccc2cc(-c3ccsc3-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5sccc5-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)ccc3-4)ccc21,3,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,8,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.1669703171109894,0.6922136617264139,0.7674230756634628,0.00018685650703252618,0.05054587191811418,0.0003677032964251212,87094.35152042104,0.010819341731081917
587,Fc1ccc(-c2ccsc2-c2ccc(-c3sccc3-c3ccc(F)c4ccccc34)nc2)c2ccccc12,2,OB(O)c1ccc(F)c2ccccc12,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,17,Brc1ccc(Br)nc1,0.09041277292182254,0.2540267662902359,0.7641203993577937,0.0001920461349179876,0.0239544464660618,0.0003345242555126772,68333.55556617911,0.012192372650898306
2553,CSc1cncc(-c2ccsc2-c2ccc(-c3sccc3-c3cncc(SC)c3)o2)c1,10,CSc1cncc(B(O)O)c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,7,Brc1ccc(Br)o1,0.13189923963558348,0.357198928332066,0.7637573440232821,0.00024004497026952818,0.14735481206225778,0.0004001355113225595,97761.90350911496,0.012343306667360401
1223,c1cnc(-c2ccc3ncccc3c2)c(-c2ccc(-c3cccnc3-c3ccc4ncccc4c3)o2)c1,4,OB(O)c1ccc2ncccc2c1,12,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,7,Brc1ccc(Br)o1,0.14114055021370794,0.3673926513070398,0.7616184457731232,0.00015506076365091014,0.024899766806023124,0.00032978757088355484,57009.42986878671,0.013232516859339715
2064,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3sccc3-c3ccco3)ccc2-c2ccc(-c3sccc3-c3ccco3)cc21,8,OB(O)c1ccco1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,12,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,0.0934704084340913,0.5277044769929534,0.7568253925124732,0.0002069693762441136,0.023604860842314758,0.0003198792712013826,39307.10267439225,0.015225146387066433
578,Fc1ccc(-c2ccsc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4sccc4-c4ccc(F)c5ccccc45)ccc2-3)c2ccccc12,2,OB(O)c1ccc(F)c2ccccc12,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,8,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.14498680826945715,0.5669438392598857,0.7500694902465738,0.00016103262127910615,0.024705395826430426,0.0003467605601879198,69953.54496073029,0.01803379665848899
